"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1365233","1375451","1384330","1392036","1425670","1404846","1411849","1407406","1393237","1377503","1359674","1337281","1312611","1284399","1257060","1232553","1211188","1188935","1167507","1145335","1122875","1100281","1078304","1058718","1043790","1031815","1019282","1007366","996919","989151","980219","970683","961300","",
"Afghanistan","AFG","Number of infant deaths","SH.DTH.IMRT","","","","100471","101258","101941","102809","103710","104590","105410","106129","106894","107535","108181","108915","109513","109686","109695","109411","108781","106135","98947","85581","75412","72468","72876","73085","70808","68121","66759","66820","65278","64072","70280","79482","85242","87819","88502","88695","88883","88965","86376","83155","84428","86200","84519","82960","81928","77273","73614","72704","70993","70669","70906","70288","70068","69144","67644","66824","66092","65340","64996","64145","",
"Africa Western and Central","AFW","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019316","1033533","1048857","1066267","1081460","1092882","1102091","1106699","1108628","1113794","1118779","1118263","1114733","1109335","1101887","1095613","1090996","1085498","1082199","1081132","1080162","1080289","1079012","1074772","1072613","1070380","1067429","1063578","1057841","1050533","1042247","1032482","1020769","",
"Angola","AGO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","59077","60752","62595","64683","66928","69144","71280","73299","75377","77335","79239","81011","82682","84392","86217","87783","88985","89751","90346","90895","91262","91140","90535","89554","88359","86558","84413","82066","79566","77168","74426","71987","69951","68198","66685","65491","64451","63628","62882","62306","61828","61250","",
"Albania","ALB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","5547","5138","4813","4559","4320","4081","3841","3607","3396","3212","3029","2859","2694","2535","2386","2263","2149","2006","1832","1655","1498","1353","1208","1069","951","847","743","646","564","501","453","413","379","352","330","312","293","277","265","256","250","248","247","243","",
"Andorra","AND","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","6","6","6","6","6","6","5","5","5","5","5","5","5","5","4","4","4","4","4","4","4","4","3","3","3","2","2","2","2","2","2","2","2","1","",
"Arab World","ARB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","465703","452503","441292","429967","419446","408342","395031","383346","373862","365543","357914","350804","343830","337742","332441","327693","324841","323014","320864","318407","316714","316409","317531","314589","310205","305394","296242","288815","284232","276880","270128","264959","257852","",
"United Arab Emirates","ARE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","636","675","703","720","721","704","680","658","635","621","604","582","566","553","534","516","498","486","459","436","435","428","427","436","450","463","477","488","482","482","525","609","702","773","784","752","716","677","634","589","546","501","458","449","439","405","",
"Argentina","ARG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","32198","32685","33079","33442","33629","33434","32686","31346","29499","27357","25254","23377","21704","20266","19110","18311","17855","17687","17739","17874","18024","17979","17644","17160","16569","15792","14884","14011","13308","12822","12413","11993","11630","11258","10902","10645","10398","10122","9851","9632","9426","9139","8802","8469","8148","7846","7494","7069","6562","6120","5771","5461","5268","",
"Armenia","ARM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","4674","4681","4669","4642","4603","4554","4531","4499","4376","4182","3967","5286","3557","3493","3365","3064","2640","2219","1922","1704","1537","1380","1238","1110","1002","934","895","868","839","761","708","704","710","692","649","641","628","610","569","516","471","428","394","361","330","303","",
"American Samoa","ASM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Number of infant deaths","SH.DTH.IMRT","117","111","105","98","90","80","71","62","54","48","42","37","34","31","28","25","24","23","22","21","19","17","15","15","14","14","14","14","14","14","14","14","14","15","15","16","18","18","17","16","17","17","16","15","14","14","13","13","14","14","13","12","12","11","10","10","10","10","9","9","9","9","9","",
"Australia","AUS","Number of infant deaths","SH.DTH.IMRT","4571","4613","4577","4444","4288","4108","4029","4072","4210","4373","4482","4655","4632","4241","3807","3419","3090","2860","2677","2521","2415","2386","2383","2358","2281","2241","2210","2124","2049","1979","1933","1848","1747","1657","1559","1480","1416","1366","1325","1292","1268","1242","1228","1224","1217","1229","1240","1261","1276","1243","1193","1143","1100","1062","1015","990","992","998","1015","1004","966","956","959","",
"Austria","AUT","Number of infant deaths","SH.DTH.IMRT","4647","4482","4337","4156","3963","3720","3505","3356","3244","3115","2910","2709","2534","2306","2091","1881","1633","1436","1318","1248","1225","1214","1181","1101","1012","942","875","818","774","741","714","698","676","634","577","518","474","435","398","373","357","345","338","332","325","317","307","296","288","282","276","270","261","254","250","252","256","257","251","243","235","228","222","",
"Azerbaijan","AZE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","16225","16464","16638","16670","16801","16892","16594","16070","15687","15328","14748","14047","13228","12277","11262","10275","9393","8603","7867","7268","6877","6664","6502","6369","6299","6231","6117","5912","5693","5466","5167","4816","4399","3895","3281","2815","2663","2444","2173","2018","",
"Burundi","BDI","Number of infant deaths","SH.DTH.IMRT","","","","","","20055","20888","21624","22420","23169","23782","24336","27503","24461","24378","25246","25906","26210","26475","26733","26512","26976","26941","26082","25405","24854","24541","24460","24824","25292","25762","26253","26676","28748","24454","24303","26836","25580","24361","24327","24583","24614","24841","25107","25301","25509","25423","25062","24653","24346","24299","23812","22810","21914","21115","20371","19282","18116","17341","16895","16598","16247","15871","",
"Belgium","BEL","Number of infant deaths","SH.DTH.IMRT","4585","4399","4225","4064","3970","3777","3531","3311","3106","2967","2875","2757","2568","2327","2095","1901","1774","1689","1614","1551","1491","1428","1352","1266","1193","1135","1105","1084","1060","1037","1017","997","955","884","800","731","683","643","604","574","558","541","518","499","493","491","490","486","483","476","469","459","446","434","424","415","407","400","391","381","369","362","357","",
